Pair,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross P&L,Fees,Net P&L,Net P&L %,Status,Exit Reason
"ETH/USDT","3/27/2026, 5:16:58 PM","3/27/2026, 5:32:05 PM","$1994.14","$1984.25","0.125300","$-1.24","$0.50","$-1.74","-0.70%","closed","momentum_failure_late"
"ETH/USDT","3/27/2026, 5:16:51 PM","3/27/2026, 5:16:57 PM","$1994.14","$1994.30","0.125300","$0.02","$0.50","$-0.48","-0.19%","closed","erosion_cap_exceeded"
"BTC/USDT","3/27/2026, 5:16:51 PM","3/27/2026, 5:31:57 PM","$66273.81","$65890.66","0.003770","$-1.44","$0.50","$-1.94","-0.78%","closed","momentum_failure_late"
"ETH/USDT","3/27/2026, 5:16:35 PM","3/27/2026, 5:16:43 PM","$1994.14","$1994.18","0.125300","$0.01","$0.50","$-0.49","-0.20%","closed","erosion_cap_exceeded"
"BTC/USDT","3/27/2026, 5:16:35 PM","3/27/2026, 5:16:43 PM","$66221.07","$66238.95","0.003770","$0.07","$0.50","$-0.43","-0.17%","closed","erosion_cap_exceeded"
"ETH/USDT","3/27/2026, 5:16:19 PM","3/27/2026, 5:16:30 PM","$1994.14","$1994.89","0.250700","$0.19","$1.00","$-0.81","-0.16%","closed","erosion_cap_exceeded"
"BTC/USDT","3/27/2026, 5:16:19 PM","3/27/2026, 5:16:26 PM","$66221.07","$66259.70","0.007550","$0.29","$1.00","$-0.71","-0.14%","closed","erosion_cap_exceeded"
"ETH/USDT","3/27/2026, 5:16:03 PM","3/27/2026, 5:16:12 PM","$1994.14","$1994.65","0.501400","$0.26","$2.00","$-1.74","-0.17%","closed","erosion_cap_exceeded"
"BTC/USDT","3/27/2026, 5:15:15 PM","3/27/2026, 5:16:12 PM","$66236.01","$66246.09","0.015090","$0.15","$2.00","$-1.85","-0.18%","closed","erosion_cap_exceeded"
"ETH/USDT","3/27/2026, 5:15:08 PM","3/27/2026, 5:15:59 PM","$1994.14","$1994.57","0.501400","$0.22","$2.00","$-1.78","-0.18%","closed","erosion_cap_exceeded"
"BTC/USDT","3/27/2026, 5:15:08 PM","3/27/2026, 5:15:09 PM","$66156.44","$66210.62","0.015110","$0.82","$2.00","$-1.18","-0.12%","closed","erosion_cap_exceeded"
